symbol
SPY
MU
QQQ
TSLA
NVDA
SNDK
MSFT
AMD
META
SPCX
IWM
AMZN
INTC
AAPL
AVGO
MSTR
ORCL
GOOGL
GLD
PLTR
TSM
SMH
MRVL
SOXL
NBIS
COIN
GOOG
USO
SLV
LITE
BE
UNH
QCOM
CRWV
NFLX
ARM
HOOD
GS
ASTS
INTU
BABA
WDC
ZS
DELL
ASML
CAR
IBIT
NOW
RKLB
IREN
DRAM
TQQQ
AMAT
CRM
CRWD
LRCX
LLY
APP
EWY
ADBE
STX
GEV
IBM
CRCL
AAOI
TLT
CVNA
CAT
GLW
SOXX
SNOW
PANW
ALAB
BA
SMCI
MDB
VRT
COHR
CBRS
JPM
COST
XOM
GDX
MELI
EEM
LULU
PDD
CRDO
SOFI
RIO
IGV
WMT
NOK
AXTI
BKNG
C
CIEN
WULF
FSLR
BRK.B
RDDT
KLAC
DIA
HD
LMT
AU
XLE
SHOP
IONQ
OKLO
CSCO
HIMS
CME
BX
NKE
MRK
CVX
AXP
TXN
KORU
FDX
DDOG
V
ACN
UBER
APLD
NET
CLS
BAC
XLF
COF
ANET
MCHP
POET
SQQQ
OXY
FCX
RCL
SPOT
HYG
BMNR
GE
CIFR
ONDS
KWEB
EWZ
MUU
HPE
XLK
VST
NEM
VOO
NVO
MRNA
CEG
TMO
CORZ
JNJ
ALB
UAL
DAL
PYPL
FXI
KRE
WFC
GME
MA
BSX
AGQ
SOXS
WOLF
MARA
CDNS
TER
ADI
AZO
NVTS
SNXX
ARKK
RIVN
HSBC
TSEM
HUT
TGT
MS
NVS
XBI
ISRG
RGTI
EFA
ABT
PEP
RBLX
WDAY
XOP
ON
ENPH
BIDU
UVXY
DUOL
DOCN
TTD
NVDL
MCD
QBTS
HUM
AAL
KO
SBUX
FIX
RIOT
ETHA
BLK
ABVX
BHP
LUNR
CHTR
SPXL
NEE
AFRM
TSLL
AXON
MCK
F
FLUT
DIS
TTWO
MP
ETN
VZ
AVAV
VLO
DASH
BNO
ECHO
URI
FUTU
ARES
USAR
AKAM
RDW
ULTA
STM
SLS
COP
PL
PBR
RTX
CCL
CCJ
SIMO
UPS
SNPS
MULL
FIG
AEHR
FTNT
AEM
TLN
OKTA
SE
ZM
PFE
LNG
XYZ
DVN
MPWR
ROKU
AG
KKR
TEAM
ABBV
TEM
XLI
MAR
EOSE
FICO
BTDR
MXL
GILD
PWR
NXPI
HTZ
AMKR
AMGN
CNQ
TNA
CF
APH
MO
VXX
JD
PG
SMR
BB
TMUS
SILJ
XLV
LOW
B
AA
SLB
GFI
SEDG
UPRO
RH
IAU
FLY
CLSK
CVS
PM
CNC
SCHW
DOW
SMTC
DE
FCEL
CMG
CELH
TECL
AMDL
U
HON
Z
NIO
APO
IVV
GM
LABU
OSCR
SOUN
GLXY
TWLO
MTUM
VSAT
FANG
W
AMPX
UCO
RVMD
ZIM
TE
WBD
KEEL
FN
FSLY
GDXJ
ET
QXO
HCA
ABNB
XLP
VG
T
BULL
SPCE
STRL
ELF
RAM
ELV
JBL
OWL
DHR
DKNG
FRMI
DG
AGX
MPC
CPNG
INFQ
LUV
FISV
COPX
NU
FLEX
XLY
EL
FRO
CMI
NUGT
LEU
BP
P
UPST
HL
KTOS
PATH
LQDA
OPEN
OUST
LYB
WPM
BMY
UVIX
VCX
HAL
NASA
RCAT
FTAI
JCI
